Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1913,-13.1,-11.6,-18.7,-11.8,-0.2,5.5,6.3,4.8,3.0,-1.9,-12.5,-14.7,-11.93,-10.23,5.53,-3.8,-5.41
1914,-19.1,-25.2,-20.2,-12.6,-3.7,0.9,6.6,5.3,0.5,-2.4,-7.6,-16.8,-19.67,-12.17,4.27,-3.17,-7.86
1915,-20.2,-22.2,-18.8,-12.0,1.9,4.7,6.2,6.5,5.7,-1.9,-4.6,-8.5,-19.73,-9.63,5.8,-0.27,-5.27
1916,-14.3,-14.9,-2.9,-11.5,3.5,3.4,6.0,8.5,4.2,-4.0,-6.0,-10.0,-12.57,-3.63,5.97,-1.93,-3.17
1917,-15.8,-16.0,-8.7,-7.9,-2.1,2.2,7.5,7.2,2.4,-7.8,-11.2,-15.7,-13.93,-6.23,5.63,-5.53,-5.49
1918,-24.8,-20.5,-16.8,-14.0,-0.1,0.8,6.0,6.1,2.0,-5.6,-13.1,-14.5,-20.33,-10.3,4.3,-5.57,-7.87
1919,-18.1,-21.7,-13.2,-16.9,1.9,1.4,5.5,4.9,1.5,-0.5,-4.9,-10.3,-18.1,-9.4,3.93,-1.3,-5.87
1920,-20.0,-19.9,-17.9,-6.0,-1.6,5.3,6.8,4.9,1.3,-5.4,-12.3,-12.4,-16.73,-8.5,5.67,-5.47,-6.43
1921,-17.1,-20.7,-17.3,-12.2,0.2,4.0,7.3,7.1,1.6,-5.0,-4.9,-12.9,-16.73,-9.77,6.13,-2.77,-5.83
1922,-17.3,-27.8,-14.6,-7.6,-2.1,2.1,6.7,4.9,0.8,-1.0,-8.1,-8.7,-19.33,-8.1,4.57,-2.77,-6.06
1923,-20.2,-14.2,-12.7,-3.4,0.5,4.9,7.2,6.4,1.2,-4.0,-5.9,-9.2,-14.37,-5.2,6.17,-2.9,-4.12
1924,-9.8,-16.1,-10.9,-5.1,1.7,6.4,6.4,5.1,0.8,-5.7,-7.7,-16.5,-11.7,-4.77,5.97,-4.2,-4.28
1925,-21.7,-18.5,-11.2,-10.0,-0.5,3.8,4.8,5.1,3.3,-3.5,-4.6,-6.6,-18.9,-7.23,4.57,-1.6,-4.97
1926,-11.1,-14.3,-14.7,-7.9,1.1,6.6,8.8,5.9,2.2,-2.3,-7.3,-10.7,-10.67,-7.17,7.1,-2.47,-3.64
1927,-10.7,-15.1,-18.3,-8.9,1.2,5.0,6.3,6.9,4.7,-3.6,-7.6,-6.5,-12.17,-8.67,6.07,-2.17,-3.88
1928,-11.2,-15.1,-5.2,-5.3,2.1,6.4,7.8,8.4,5.1,-0.6,-6.1,-8.7,-10.93,-2.8,7.53,-0.53,-1.87
1929,-2.9,-6.4,-5.4,-5.0,1.8,4.0,8.0,6.9,1.2,-5.6,-7.6,-11.3,-6.0,-2.87,6.3,-4.0,-1.86
1930,-14.5,-12.1,-7.1,-4.3,1.3,3.7,7.8,6.7,5.0,-4.0,-8.5,-10.7,-12.63,-3.37,6.07,-2.5,-3.06
1931,-8.7,-14.0,-17.1,-9.4,1.3,7.5,9.9,8.2,5.3,-3.3,-11.1,-10.7,-11.13,-8.4,8.53,-3.03,-3.51
1932,-18.1,-3.7,-4.0,-5.8,3.8,5.5,7.6,4.7,2.7,-3.0,-9.5,-12.0,-10.83,-2.0,5.93,-3.27,-2.65
1933,-18.3,-9.6,-12.0,-9.8,4.4,3.8,8.6,7.1,1.3,-2.9,-5.4,-6.4,-13.3,-5.8,6.5,-2.33,-3.27
1934,-12.7,-16.5,-14.7,-6.1,-1.7,4.4,8.2,6.1,2.6,-3.8,-5.6,-6.3,-11.87,-7.5,6.23,-2.27,-3.84
1935,-12.8,-19.4,-9.4,-4.6,0.8,6.5,8.0,6.5,4.7,-3.2,-6.6,-8.4,-12.83,-4.4,7.0,-1.7,-3.16
1936,-8.3,-8.1,-11.2,-3.9,1.6,4.7,9.4,6.0,2.8,-4.0,-5.7,-13.6,-8.27,-4.5,6.7,-2.3,-2.53
1937,-17.5,-16.1,-6.5,-11.5,-0.3,3.7,8.0,6.2,3.1,-4.7,-3.3,-10.5,-15.73,-6.1,5.97,-1.63,-4.12
1938,-17.5,-16.3,-16.4,-9.8,0.2,3.2,6.9,6.9,2.4,-4.6,-10.7,-13.6,-14.77,-8.67,5.67,-4.3,-5.77
1939,-9.4,-18.9,-14.0,-3.4,2.0,4.6,8.2,4.7,4.3,-0.3,-8.0,-9.6,-13.97,-5.13,5.83,-1.33,-3.32
1940,-12.6,-9.4,-11.4,-5.2,0.1,3.9,8.8,4.4,1.6,-3.2,-7.7,-7.2,-10.53,-5.5,5.7,-3.1,-3.16
1941,-8.4,-8.6,-8.0,-3.8,0.9,4.4,6.6,8.5,3.1,1.5,-6.5,-10.2,-8.07,-3.63,6.5,-0.63,-1.71
1942,-11.8,-15.5,-11.1,-8.8,3.1,5.7,7.0,5.4,2.3,-4.5,-5.6,-7.8,-12.5,-5.6,6.03,-2.6,-3.47
1943,-6.9,-16.4,-15.2,-9.9,-1.1,4.7,7.2,6.0,2.1,-6.2,-8.3,-8.9,-10.37,-8.73,5.97,-4.13,-4.41
1944,-17.3,-12.7,-14.5,-4.8,-2.0,4.9,6.5,6.1,2.0,-4.4,-10.6,-11.9,-12.97,-7.1,5.83,-4.33,-4.89
1945,-8.9,-19.2,-11.1,-10.8,-1.4,5.1,6.2,6.8,1.6,-0.9,-7.4,-7.3,-13.33,-7.77,6.03,-2.23,-3.94
1946,-13.9,-11.8,-7.4,-10.2,3.0,6.0,6.1,6.0,3.1,-1.3,-4.7,-6.9,-11.0,-4.87,6.03,-0.97,-2.67
1947,-7.1,-5.0,-6.6,-6.3,1.8,6.4,7.3,5.9,1.4,-3.2,-5.3,-8.4,-6.33,-3.7,6.53,-2.37,-1.59
1948,-11.1,-11.9,-16.2,-7.9,-1.0,7.5,9.2,6.1,2.5,-3.7,-8.0,-15.8,-10.47,-8.37,7.6,-3.07,-4.19
1949,-17.7,-22.4,-13.4,-14.1,0.1,6.7,8.9,5.8,1.6,-3.2,-8.2,-11.2,-18.63,-9.13,7.13,-3.27,-5.59
1950,-17.9,-20.2,-13.5,-12.0,0.3,5.8,8.4,6.3,2.6,-4.0,-7.7,-6.5,-16.43,-8.4,6.83,-3.03,-4.87
1951,-13.4,-20.1,-20.0,-10.8,2.6,6.4,6.9,5.9,4.1,-4.8,-5.4,-14.1,-13.33,-9.4,6.4,-2.03,-5.23
1952,-14.7,-15.8,-17.3,-8.9,1.0,5.2,7.2,7.0,3.9,-2.5,-4.8,-6.6,-14.87,-8.4,6.47,-1.13,-3.86
1953,-12.0,-15.9,-17.1,-4.2,-1.2,3.1,7.5,6.0,1.6,-5.4,-10.4,-17.4,-11.5,-7.5,5.53,-4.73,-5.45
1954,-10.0,-16.7,-10.4,-4.8,2.7,3.8,5.4,5.9,2.2,-3.4,-7.6,-14.8,-14.7,-4.17,5.03,-2.93,-3.97
1955,-19.2,-12.0,-10.4,-13.6,0.0,5.1,5.2,4.1,1.5,-0.9,-7.4,-11.2,-15.33,-8.0,4.8,-2.27,-4.9
1956,-17.2,-13.8,-13.4,-6.9,-0.9,3.3,6.8,6.5,0.4,-4.3,-10.0,-15.6,-14.07,-7.07,5.53,-4.63,-5.43
1957,-17.3,-16.2,-13.8,-8.5,1.4,6.9,9.1,7.2,4.2,-4.5,-7.0,-13.1,-16.37,-6.97,7.73,-2.43,-4.3
1958,-15.3,-12.1,-12.5,-10.1,1.8,5.5,8.7,5.1,1.5,-3.6,-10.8,-7.9,-13.5,-6.93,6.43,-4.3,-4.14
1959,-8.5,-16.0,-20.6,-9.3,2.2,5.2,7.6,5.2,1.7,-1.5,-6.6,-13.2,-10.8,-9.23,6.0,-2.13,-4.48
1960,-11.2,-10.9,-17.7,-11.5,0.9,5.8,11.0,9.5,2.8,3.1,-4.4,-10.2,-11.77,-9.43,8.77,0.5,-2.73
1961,-12.1,-21.8,-21.0,-8.5,0.8,6.8,8.3,6.7,2.3,-3.4,-9.2,-8.4,-14.7,-9.57,7.27,-3.43,-4.96
1962,-11.0,-14.9,-5.6,-4.0,2.1,4.5,8.4,5.1,1.4,-3.6,-6.3,-9.3,-11.43,-2.5,6.0,-2.83,-2.77
1963,-6.1,-5.9,-12.5,-4.5,-1.5,3.0,6.1,6.8,1.2,-5.3,-8.9,-7.3,-7.1,-6.17,5.3,-4.33,-2.91
1964,-9.7,-8.1,-18.5,-8.8,-1.8,3.9,4.7,5.0,2.8,-4.5,-9.4,-9.4,-8.37,-9.7,4.53,-3.7,-4.48
1965,-12.6,-6.5,-12.2,-8.2,3.9,3.7,8.0,6.5,2.5,-2.9,-4.9,-12.5,-9.5,-5.5,6.07,-1.77,-2.93
1966,-17.2,-12.8,-16.4,-8.3,-1.5,4.2,6.3,8.0,4.3,1.1,-6.9,-12.9,-14.17,-8.73,6.17,-0.5,-4.34
1967,-7.9,-14.6,-16.0,-10.1,2.6,3.8,7.9,7.2,2.5,-5.8,-9.8,-10.2,-11.8,-7.83,6.3,-4.37,-4.2
1968,-15.5,-13.7,-18.2,-5.3,2.6,4.8,8.8,6.6,3.1,-2.6,-6.9,-9.3,-13.13,-6.97,6.73,-2.13,-3.8
1969,-9.1,-9.3,-13.6,-8.0,2.2,5.1,7.1,6.9,1.6,-5.5,-5.6,-12.7,-9.23,-6.47,6.37,-3.17,-3.41
1970,-17.9,-12.1,-14.8,-8.5,-2.6,3.8,5.9,4.6,4.6,-3.2,-7.2,-10.8,-14.23,-8.63,4.77,-1.93,-4.85
1971,-14.6,-19.4,-17.4,-9.9,-0.9,5.4,8.4,5.2,2.8,-6.1,-8.6,-21.7,-14.93,-9.4,6.33,-3.97,-6.4
1972,-17.4,-16.3,-18.3,-11.4,2.3,2.0,4.2,4.8,4.5,-2.5,-10.2,-13.5,-18.47,-9.13,3.67,-2.73,-5.98
1973,-10.3,-18.5,-16.9,-5.2,-1.7,3.9,6.7,6.9,3.3,-2.2,-8.2,-9.9,-14.1,-7.93,5.83,-2.37,-4.34
1974,-14.3,-13.8,-10.2,-5.8,1.2,4.1,7.5,6.6,2.3,-1.5,-9.0,-20.3,-12.67,-4.93,6.07,-2.73,-4.43
1975,-17.4,-14.6,-16.5,-9.2,0.4,5.1,8.0,6.9,1.2,-2.5,-9.6,-12.8,-17.43,-8.43,6.67,-3.63,-5.08
1976,-15.8,-16.8,-13.9,-9.2,0.1,5.4,7.8,4.3,5.0,-3.1,-6.5,-6.3,-15.13,-7.67,5.83,-1.53,-4.08
1977,-9.5,-9.9,-9.8,-4.6,1.5,3.6,9.3,7.2,1.6,-4.1,-5.0,-11.1,-8.57,-4.3,6.7,-2.5,-2.57
1978,-14.1,-12.9,-14.9,-7.0,-0.4,2.6,9.4,7.5,3.3,-2.9,-12.4,-1.5,-12.7,-7.43,6.5,-4.0,-3.61
1979,-8.0,-12.3,-12.1,-4.7,0.1,3.9,7.4,7.1,1.9,-2.6,-11.1,-12.0,-7.27,-5.57,6.13,-3.93,-3.53
1980,-5.8,-11.0,-9.1,-8.1,1.6,4.3,7.6,7.0,3.2,-3.1,-6.6,-10.8,-9.6,-5.2,6.3,-2.17,-2.57
1981,-13.4,-16.6,-11.5,-7.0,1.0,6.1,7.9,5.6,3.2,-3.1,-9.0,-8.4,-13.6,-5.83,6.53,-2.97,-3.77
1982,-10.1,-19.1,-16.0,-8.6,-1.4,4.6,7.9,5.7,0.7,-4.2,-9.8,-14.5,-12.53,-8.67,6.07,-4.43,-5.4
1983,-32.1,-22.9,-24.1,-10.1,-1.1,4.5,7.0,4.7,2.3,-5.7,-9.5,-11.7,-23.17,-11.77,5.4,-4.3,-8.22
1984,-24.3,-32.1,-19.4,-14.0,-4.8,3.3,8.9,5.9,2.0,-4.8,-7.7,-12.9,-22.7,-12.73,6.03,-3.5,-8.32
1985,-6.0,-14.4,-13.2,-5.6,4.1,6.8,9.1,7.0,3.8,-4.8,-6.1,-7.0,-11.1,-4.9,7.63,-2.37,-2.19
1986,-7.7,-3.5,-14.3,-7.2,-0.3,3.9,7.2,7.8,3.6,-6.5,-13.1,-12.6,-6.07,-7.27,6.3,-5.33,-3.56
1987,-11.0,-19.8,-15.2,-12.0,0.2,6.9,7.6,9.5,2.8,-4.5,-6.3,-13.2,-14.47,-9.0,8.0,-2.67,-4.58
1988,-15.3,-9.6,-13.1,-8.1,0.7,4.4,7.7,7.4,3.1,-1.7,-5.0,-10.5,-12.7,-6.83,6.5,-1.2,-3.33
