,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN,_merge
85,1892,-16.4,-14.5,-16.6,-10.2,-0.1,6.9,7.2,5.6,0.5,0.2,-8.5,-9.9,-15.07,-8.97,7.009801061007958,-2.6,-4.65,left_only
86,1893,-12.9,-18.2,-14.7,-11.2,-2.7,4.5,7.9,6.7,3.5,-4.2,-6.0,-15.6,-13.67,-9.53,6.809801061007958,-2.23,-5.24,left_only
87,1894,-20.8,-27.9,-25.4,-16.1,-0.5,1.1,7.2,6.1,0.9,-3.4,-11.6,-15.9,-21.43,-14.0,5.239801061007958,-4.7,-8.86,left_only
88,1895,-12.2,-8.5,-12.5,-10.7,-2.3,2.5,6.8,5.3,-0.5,-2.2,-9.8,-12.3,-12.2,-8.5,5.309801061007958,-4.17,-4.7,left_only
89,1896,-21.7,-27.6,-21.1,-17.6,-4.7,3.6,7.7,6.8,2.7,-1.5,-10.2,-14.0,-20.53,-14.47,6.469801061007958,-3.0,-8.13,left_only
90,1897,-18.8,-26.1,-14.8,-14.5,-3.1,4.3,7.4,4.8,1.6,-2.5,-10.4,-12.4,-19.63,-10.8,5.939801061007958,-3.77,-7.04,left_only
91,1898,-21.2,-29.6,-17.5,-13.9,-1.2,4.9,5.2,4.4,1.8,-2.1,-12.2,-22.3,-21.07,-10.87,5.269801061007958,-4.17,-8.64,left_only
92,1899,-17.8,-23.4,-14.7,-7.4,0.7,4.8,6.5,6.0,2.7,-6.1,-11.5,-13.9,-21.17,-7.13,6.2098010610079575,-4.97,-6.17,left_only
93,1900,-18.8,-8.3,-8.2,-9.6,1.7,6.7,8.4,6.7,0.8,-2.9,-10.0,-16.8,-13.67,-5.37,7.7098010610079575,-4.03,-4.19,left_only
94,1901,-20.6,-5.4,-14.2,-11.1,-2.1,2.3,6.5,5.4,2.4,-5.2,-4.7,-10.4,-14.27,-9.13,5.169801061007958,-2.5,-4.76,left_only
95,1902,-17.0,-14.9,-19.3,-8.2,0.5,5.1,8.0,7.6,2.7,-1.6,-8.9,-14.5,-14.1,-9.0,7.339801061007958,-2.6,-5.04,left_only
96,1903,-15.3,-19.6,-21.4,-9.1,-0.8,3.9,7.8,4.5,3.3,-0.9,-8.1,-5.8,-16.47,-10.43,5.839801061007958,-1.9,-5.13,left_only
97,1904,-18.1,-18.3,-17.3,-13.5,1.0,5.1,7.3,8.6,1.7,-8.1,-8.6,-8.3,-14.07,-9.93,7.439801061007958,-5.0,-5.71,left_only
98,1905,-20.4,-17.9,-9.6,-1.5,1.1,3.7,7.9,6.3,-0.1,-1.2,-6.1,-15.1,-15.53,-3.33,6.409801061007958,-2.47,-4.41,left_only
99,1906,-21.9,-23.4,-18.9,-12.4,1.0,4.0,7.8,9.3,3.2,-4.2,-11.7,-12.8,-20.13,-10.1,7.469801061007958,-4.23,-6.67,left_only
100,1907,-20.0,-20.5,-21.8,-14.1,-1.7,4.2,7.8,6.5,1.9,-0.6,-10.7,-9.9,-17.77,-12.53,6.609801061007958,-3.13,-6.57,left_only
101,1908,-16.3,-20.6,-10.9,-4.2,-0.2,4.4,10.1,5.6,4.7,-5.6,-7.9,-12.8,-15.6,-5.1,7.139801061007958,-2.93,-4.48,left_only
102,1909,-24.7,-14.9,-8.9,-7.2,2.1,6.1,7.4,5.4,3.3,-7.4,-7.2,-18.2,-17.47,-4.67,6.739801061007958,-3.77,-5.35,left_only
103,1910,-25.6,-25.5,-20.2,-9.1,-0.1,2.5,7.1,8.3,1.4,-3.3,-11.5,-12.8,-23.1,-9.8,6.409801061007958,-4.47,-7.4,left_only
104,1911,-18.5,-27.0,-15.4,-6.4,0.1,4.0,7.7,6.6,1.9,-1.1,-7.1,-13.9,-19.43,-7.23,6.5398010610079575,-2.1,-5.76,left_only
105,1912,-10.7,-10.3,-13.9,-5.8,0.8,6.6,6.7,7.2,3.1,-5.7,-7.5,-11.1,-11.63,-6.3,7.269801061007958,-3.37,-3.38,left_only
106,1913,-13.1,-11.6,-18.7,-11.8,-0.2,5.5,6.3,4.8,3.0,-1.9,-12.5,-14.7,-11.93,-10.23,5.969801061007958,-3.8,-5.41,left_only
