Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1899,-7.4,-6.8,-4.5,0.2,5.0,6.2,6.7,7.9,5.0,0.4,-4.9,-8.2,-7.57,0.23,6.93,0.17,-0.03
1900,-10.0,-3.4,-0.1,-0.2,4.5,6.8,8.4,8.8,4.4,1.0,-5.1,-6.3,-7.2,1.4,8.0,0.1,0.73
1901,-10.1,2.9,-2.1,-0.4,4.3,5.4,6.2,6.0,4.2,-0.5,-1.6,-5.4,-4.5,0.6,5.87,0.7,0.74
1902,-7.6,-3.4,-5.5,0.0,4.2,6.6,7.3,7.3,5.4,1.6,-5.1,-7.6,-5.47,-0.43,7.07,0.63,0.27
1903,-9.0,-8.2,-11.5,-1.9,2.1,5.3,7.8,6.9,5.6,2.9,-1.8,-5.1,-8.27,-3.77,6.67,2.23,-0.57
1904,-9.5,-8.2,-8.1,-4.7,2.5,6.1,6.8,8.4,3.5,-2.1,-2.3,-3.9,-7.6,-3.43,7.1,-0.3,-0.96
1905,-10.3,-8.0,-4.7,1.0,4.5,4.8,7.3,6.8,4.0,4.4,-0.7,-7.0,-7.4,0.27,6.3,2.57,0.18
1906,-8.7,-12.1,-4.3,-5.2,4.7,6.4,5.8,8.0,4.9,0.2,-5.2,-8.6,-9.27,-1.6,6.73,-0.03,-1.17
1907,-9.7,-9.2,-9.8,-2.1,3.3,3.9,7.1,6.0,3.4,1.1,-4.8,-7.4,-9.17,-2.87,5.67,-0.1,-1.52
1908,-9.6,-8.3,-7.5,1.4,2.4,4.5,8.9,6.7,5.8,-1.5,-2.0,-7.0,-8.43,-1.23,6.7,0.77,-0.52
1909,-10.4,-6.4,0.4,1.5,4.8,8.2,6.1,7.0,6.1,0.6,-1.8,-7.5,-7.93,2.23,7.1,1.63,0.72
1910,-8.1,-13.8,-7.0,-1.3,0.8,6.4,7.4,8.0,3.6,1.7,-2.8,-3.5,-9.8,-2.5,7.27,0.83,-0.72
1911,-8.9,-8.0,-5.0,-1.5,2.1,5.8,6.9,8.2,4.8,2.4,-2.4,-8.6,-6.8,-1.47,6.97,1.6,-0.35
1912,-7.9,-5.4,-5.3,0.2,4.0,7.5,7.8,8.1,4.9,1.0,-1.0,-5.3,-7.3,-0.37,7.8,1.63,0.72
