Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
2011,-17.4,-24.6,-23.2,-20.5,-4.7,3.6,8.7,6.0,-2.5,-10.2,-14.6,-21.7,,,,,
2012,-24.9,-24.3,-27.6,-15.5,-3.8,3.6,7.6,4.6,0.8,-7.5,-12.8,-18.3,,,,,
2013,-21.0,-23.6,-16.6,-13.9,-7.7,1.8,4.9,3.8,-2.0,-7.9,-17.8,-22.7,,,,,
2014,-18.0,-23.0,-22.1,-15.0,-5.2,3.1,5.5,5.0,-1.0,-8.6,-13.8,-22.0,,,,,
2015,-22.5,-30.4,-22.2,-17.2,-3.3,2.6,8.8,4.9,-1.0,-8.1,-16.5,-25.2,,,,,
2016,-21.765,-23.345,-20.78,-10.309999999999999,-3.355,2.2199999999999998,7.715,6.03,-2.45,-12.88,-12.57,-22.3,,,,,
2017,-25.12,-24.54,-26.06,-14.92,-4.04,1.12,6.64,5.06,-1.97,-8.45,-15.2,-16.78,,,,,
2018,-22.55,-24.74,-25.47,-15.95,-9.55,3.74,4.18,4.34,-1.96,-10.29,-19.94,-22.05,,,,,
2019,-25.11,-25.49,-25.44,-14.46,-0.03,4.58,9.7,7.53,1.18,-5.04,-11.49,-18.2,,,,,
2020,-26.88,-29.33,-26.47,-10.94,-4.36,2.25,7.19,5.66,-2.73,-6.78,-16.62,-18.33,,,,,
2021,-19.3,-20.76,-24.97,-11.89,-1.32,4.77,5.01,5.1,-3.76,-4.78,-14.6,-13.62,,,,,
2022,-20.66,-25.71,-19.12,-15.07,-4.76,1.01,6.03,5.19,2.79,,,,,,,,
